Pre,Displacement,Tension
1.88,1.87,8.8
1.87,1.86,8.6
1.86,1.85,8.7
1.85,1.83,8.6
1.83,1.82,8.6
1.82,1.8,8.4
1.8,1.79,8.2
1.79,1.78,8.5
1.78,1.76,8.6
1.76,1.75,8.3
1.75,1.74,8.1
1.74,1.73,8.4
1.73,1.72,8.2
1.72,1.71,7.9
1.71,1.69,8
1.69,1.67,7.9
1.67,1.66,7.9
1.66,1.65,7.6
1.65,1.64,7.7
1.64,1.63,7.6
1.63,1.61,7.4
1.61,1.6,7.5
1.6,1.59,7.5
1.59,1.58,7.4
1.58,1.56,7.4
1.56,1.55,7.2
1.55,1.54,7
1.54,1.52,7.1
1.52,1.51,7.3
1.51,1.5,7.1
1.5,1.49,6.8
1.49,1.48,7
1.48,1.46,6.9
1.46,1.45,7
1.45,1.43,6.8
1.43,1.42,6.7
1.42,1.41,6.7
1.41,1.39,6.5
1.39,1.38,6.3
1.38,1.37,6.3
1.37,1.36,6.3
1.36,1.35,6.3
1.35,1.33,6.2
1.33,1.32,6.1
1.32,1.3,6.1
1.3,1.29,6.1
1.29,1.27,6.2
1.27,1.26,6
1.26,1.25,5.8
1.25,1.24,5.8
1.24,1.23,5.8
1.23,1.21,5.5
1.21,1.2,5.5
1.2,1.18,5.7
1.18,1.17,5.7
1.17,1.15,5.7
1.15,1.14,5.5
1.14,1.12,5.4
1.12,1.11,5.3
1.11,1.1,5.3
1.1,1.09,5.3
1.09,1.08,5.2
1.08,1.06,5.3
1.06,1.05,5
1.05,1.03,4.9
1.03,1.02,4.9
1.02,1.01,4.8
1.01,1,4.6
1,0.98,4.5
0.98,0.98,4.4
0.98,0.96,4.4
0.96,0.95,4.3
0.95,0.93,4.4
0.93,0.92,4.5
0.92,0.91,4.2
0.91,0.9,4.1
0.9,0.88,4.1
0.88,0.87,4.1
0.87,0.86,4
0.86,0.85,4
0.85,0.83,4.1
0.83,0.82,3.9
0.82,0.81,4
0.81,0.79,3.8
0.79,0.77,3.4
0.77,0.77,3.6
0.77,0.75,3.7
0.75,0.74,3.6
0.74,0.73,3.2
0.73,0.71,3.3
0.71,0.7,3.4
0.7,0.69,3.4
0.69,0.68,3.3
0.68,0.66,3.4
0.66,0.65,3.6
0.65,0.63,3
0.63,0.62,2.9
0.62,0.61,3
0.61,0.6,2.9
0.6,0.58,2.7
0.58,0.57,2.8
0.57,0.56,2.6
0.56,0.55,2.6
0.55,0.53,3
0.53,0.52,2.9
0.52,0.51,2.6
0.51,0.5,2.9
0.5,0.49,2.9
0.49,0.47,2.6
0.47,0.45,2.3
0.45,0.45,2
0.45,0.43,2.1
0.43,0.41,2.3
0.41,0.41,2.1
0.41,0.4,2.2
0.4,0.38,2.2
0.38,0.37,2.2
0.37,0.35,2
0.35,0.34,2
0.34,0.33,2
0.33,0.31,1.9
0.31,0.3,2
0.3,0.29,1.8
0.29,0.28,1.7
0.28,0.26,1.7
0.26,0.25,1.8
0.25,0.25,1.7
0.25,0.23,1.9
0.23,0.22,2
0.22,0.2,1.7
0.2,0.19,1.5
0.19,0.17,1.4
0.17,0.17,1.6
0.17,0.15,1.5
0.15,0.13,1.6
0.13,0.12,1.6
0.12,0.11,1.7
0.11,0.1,1.6
0.1,0.09,1.4
0.09,0.08,1.1
0.08,0.06,1.1
0.06,0.05,1.1
0.05,0.04,1.2
0.04,0.03,1.2
0.03,0.01,1.3
0.01,0,1.3
0,0,1.2
0,0,1.1
0,0,1.2
0,0,1.1
0,0,1.1
0,0,1.1
0,0,1.1
0,0,1
0,0,1.3
0,0,1.4
0,0,1.2
0,0,1.4
0,0,1.3
0,0,1.4
0,0,1.1
0,0,1.1
0,0,1.4
0,0,1.3
0,0,1.4
0,0.01,1.2
0.01,0.03,1.2
0.03,0.05,1.5
0.05,0.05,1.7
0.05,0.06,1.6
0.06,0.08,1.4
0.08,0.09,1.6
0.09,0.1,1.7
0.1,0.12,1.8
0.12,0.12,1.9
0.12,0.14,1.9
0.14,0.15,1.9
0.15,0.17,2
0.17,0.17,1.8
0.17,0.19,2
0.19,0.2,2.7
0.2,0.21,2.4
0.21,0.22,2.1
0.22,0.24,2.4
0.24,0.25,2.6
0.25,0.26,2.6
0.26,0.28,2.9
0.28,0.28,2.8
0.28,0.3,2.9
0.3,0.31,2.7
0.31,0.33,2.7
0.33,0.34,3
0.34,0.35,2.8
0.35,0.37,2.8
0.37,0.37,3.1
0.37,0.39,3.3
0.39,0.4,3.3
0.4,0.41,3.2
0.41,0.43,3.2
0.43,0.44,3.5
0.44,0.45,3.6
0.45,0.46,3.4
0.46,0.48,3.5
0.48,0.49,3.7
0.49,0.5,3.4
0.5,0.51,3.5
0.51,0.53,3.6
0.53,0.54,3.6
0.54,0.55,3.7
0.55,0.56,3.9
0.56,0.58,3.9
0.58,0.6,3.9
0.6,0.61,4
0.61,0.61,4.2
0.61,0.63,4.4
0.63,0.65,4.5
0.65,0.65,4.5
0.65,0.67,4.5
0.67,0.69,4.5
0.69,0.7,4.6
0.7,0.71,4.4
0.71,0.72,4.3
0.72,0.74,4.7
0.74,0.75,4.9
0.75,0.76,5
0.76,0.77,5.3
0.77,0.79,5.3
0.79,0.8,5
0.8,0.81,5.2
0.81,0.83,5.2
0.83,0.84,5.4
0.84,0.85,5.4
0.85,0.86,5.1
0.86,0.88,5.2
0.88,0.88,5.5
0.88,0.9,5.5
0.9,0.91,5.8
0.91,0.93,5.7
0.93,0.94,5.6
0.94,0.95,5.9
0.95,0.96,6
0.96,0.98,5.7
0.98,1,5.9
1,1,6.1
1,1.01,6.1
1.01,1.03,6.2
1.03,1.04,6.4
1.04,1.05,6.5
1.05,1.07,6.5
1.07,1.08,6.5
1.08,1.1,6.3
1.1,1.11,6.5
1.11,1.12,6.9
1.12,1.13,7.1
1.13,1.15,7.1
1.15,1.16,7
1.16,1.17,6.9
1.17,1.19,7
1.19,1.21,7.2
1.21,1.22,7.1
1.22,1.23,7.2
1.23,1.25,7.4
1.25,1.26,7.4
1.26,1.27,7.7
1.27,1.29,7.6
1.29,1.3,7.4
1.3,1.32,7.6
1.32,1.33,7.7
1.33,1.34,7.8
1.34,1.35,7.7
1.35,1.37,7.8
1.37,1.37,8.1
1.37,1.39,8.3
1.39,1.4,8.2
1.4,1.41,8.3
1.41,1.42,8.3
1.42,1.44,8.5
1.44,1.46,8.5
1.46,1.47,8.6
1.47,1.48,8.9
1.48,1.49,8.8
1.49,1.5,8.6
1.5,1.52,8.9
1.52,1.53,9.1
1.53,1.54,9.3
1.54,1.55,9.4
1.55,1.57,9.4
1.57,1.58,9.3
1.58,1.6,9.4
1.6,1.61,9.4
1.61,1.62,9.3
1.62,1.63,9.4
1.63,1.65,9.6
1.65,1.66,9.6
1.66,1.67,10
1.67,1.68,10
1.68,1.7,9.9
1.7,1.71,9.8
1.71,1.73,10.1
1.73,1.74,10.2
1.74,1.75,10.4
1.75,1.76,10.5
1.76,1.77,10.5
1.77,1.78,10.3
1.78,1.8,10.5
1.8,1.82,10.7
1.82,1.83,10.7
1.83,1.84,10.8
1.84,1.86,10.8
1.86,1.86,10.9
1.86,1.88,10.7
1.88,1.89,11.1
1.89,1.9,11.1
1.9,1.91,10.9
1.91,1.93,10.9
1.93,1.94,11.1
1.94,1.96,11.1
1.96,1.97,11.3
1.97,1.98,11.3
1.98,1.99,11.3
1.99,2.01,11.8
2.01,2.02,11.8
2.02,2.04,11.6
2.04,2.05,11.5
2.05,2.06,11.6
2.06,2.07,11.9
2.07,2.09,12
2.09,2.1,12
2.1,2.12,12.1
2.12,2.13,12
2.13,2.14,12.4
2.14,2.15,12.5
2.15,2.17,12.2
2.17,2.19,12.3
2.19,2.2,12.5
2.2,2.21,12.6
2.21,2.23,12.6
2.23,2.24,12.8
2.24,2.25,13
2.25,2.27,12.9
2.27,2.28,12.8
2.28,2.3,13
2.3,2.31,13
2.31,2.32,13.2
2.32,2.33,13.3
2.33,2.35,13.3
2.35,2.36,13.5
2.36,2.37,13.7
2.37,2.39,13.5
2.39,2.4,13.4
2.4,2.41,13.5
2.41,2.42,13.6
2.42,2.44,13.7
2.44,2.45,13.5
2.45,2.46,13.6
2.46,2.47,13.8
2.47,2.48,13.8
2.48,2.5,14
2.5,2.51,14.1
2.51,2.52,14.4
2.52,2.54,14.3
2.54,2.55,14.1
2.55,2.56,14
2.56,2.58,14.3
2.58,2.59,14.5
2.59,2.6,14.6
2.6,2.61,14.6
2.61,2.63,14.5
2.63,2.64,14.7
2.64,2.65,14.9
2.65,2.67,15.2
2.67,2.68,15.2
2.68,2.69,14.7
2.69,2.71,14.8
2.71,2.72,15.2
2.72,2.73,15.3
2.73,2.74,15.4
2.74,2.76,15.5
2.76,2.77,15.4
2.77,2.79,15.3
2.79,2.8,15.6
2.8,2.81,15.8
2.81,2.82,15.8
2.82,2.84,15.8
2.84,2.85,16.1
2.85,2.86,16
2.86,2.88,15.8
2.88,2.88,16
2.88,2.9,16
2.9,2.91,15.9
2.91,2.92,16
2.92,2.93,16
2.93,2.95,16.1
2.95,2.96,16.4
2.96,2.97,16.3
2.97,2.98,16.5
2.98,3,16.8
3,3.01,16.6
3.01,3.02,16.7
3.02,3.04,16.9
3.04,3.05,16.9
3.05,3.06,16.9
3.06,3.07,17.1
3.07,3.09,17.1
3.09,3.1,17.2
3.1,3.11,17.4
3.11,3.12,17.3
3.12,3.14,17.2
3.14,3.15,17.2
3.15,3.16,17.5
3.16,3.18,17.8
3.18,3.19,17.9
3.19,3.2,18
3.2,3.22,18
3.22,3.23,17.7
3.23,3.24,17.9
3.24,3.26,18.1
3.26,3.27,18.4
3.27,3.28,18.4
3.28,3.3,18.4
3.3,3.31,18.6
3.31,3.32,18.6
3.32,3.34,18.5
3.34,3.35,18.5
3.35,3.36,18.6
3.36,3.37,18.6
3.37,3.39,18.7
3.39,3.4,18.6
3.4,3.41,18.8
3.41,3.42,18.9
3.42,3.44,19
3.44,3.44,19.2
3.44,3.46,19.2
3.46,3.47,18.9
3.47,3.48,19
3.48,3.49,19.1
3.49,3.51,19.2
3.51,3.52,19.4
3.52,3.53,19.4
3.53,3.55,19.4
3.55,3.56,19.3
3.56,3.57,19.4
3.57,3.59,19.9
3.59,3.6,19.8
3.6,3.61,19.8
3.61,3.62,20
3.62,3.63,20.2
3.63,3.65,20.5
3.65,3.66,20.4
3.66,3.67,20.3
3.67,3.68,20.4
3.68,3.7,20.5
3.7,3.71,20.4
3.71,3.73,20.5
3.73,3.74,20.5
3.74,3.75,20.6
3.75,3.76,20.9
3.76,3.78,21
3.78,3.79,20.9
3.79,3.81,20.9
3.81,3.82,21.1
3.82,3.83,21
3.83,3.84,21
3.84,3.86,21.2
3.86,3.87,21.4
3.87,3.88,21.3
3.88,3.9,21.3
3.9,3.91,21.4
3.91,3.92,21.3
3.92,3.93,21.6
3.93,3.95,21.5
3.95,3.95,21.6
3.95,3.97,21.8
3.97,3.98,22.1
3.98,3.99,22.3
3.99,4,21.9
4,4.01,21.9
4.01,4.03,22.1
4.03,4.03,22
4.03,4.05,22.2
4.05,4.06,22.4
4.06,4.07,22.3
4.07,4.09,22.2
4.09,4.1,22.4
4.1,4.11,22.4
4.11,4.13,22.6
4.13,4.14,22.6
4.14,4.15,22.4
4.15,4.16,22.4
4.16,4.18,22.5
4.18,4.19,22.9
4.19,4.2,23.1
4.2,4.21,22.9
4.21,4.22,23
4.22,4.23,23.2
4.23,4.25,23.1
4.25,4.26,23
4.26,4.27,23.2
4.27,4.29,23.5
4.29,4.3,23.4
4.3,4.31,23.3
4.31,4.32,23.9
4.32,4.34,23.7
4.34,4.35,23.5
4.35,4.36,23.9
4.36,4.38,23.9
4.38,4.39,23.9
4.39,4.4,24
4.4,4.42,23.9
4.42,4.43,23.8
4.43,4.44,24.2
4.44,4.45,24.3
4.45,4.46,24.3
4.46,4.48,24.5
4.48,4.49,24.5
4.49,4.5,24.5
4.5,4.51,24.5
4.51,4.53,24.7
4.53,4.54,24.9
4.54,4.55,24.9
4.55,4.57,24.9
4.57,4.58,24.8
4.58,4.59,25.1
4.59,4.61,25.1
4.61,4.61,25.1
4.61,4.63,25.3
4.63,4.65,25.4
4.65,4.66,25.3
4.66,4.67,25.5
4.67,4.69,25.7
4.69,4.7,25.7
4.7,4.71,25.6
4.71,4.72,25.7
4.72,4.74,25.6
4.74,4.75,25.7
4.75,4.76,26
4.76,4.78,25.9
4.78,4.78,25.9
